"Lon","Lat","NAMES","DATE","TYPE"
-110.8403,34.90831,"December 2000",2000-12-24 06:00:00,"Class_A"
-109.4276,36.09081,"June 2001",2001-06-17 06:00:00,"Class_A"
-111.5,34.4,"December 1983",1983-12-30 06:00:00,"Class_A"
-109.3191,33.6247,"September 1993",1993-09-04 06:00:00,"Class_A"
-109.29,36.54165,"November 1981",1981-11-07 06:00:00,"Class_A"
-111.938,35.656,"July 1990",1990-07-01 06:00:00,"Class_A"
-109.64,34.325,"October 2006",2006-10-26 06:00:00,"Class_A"
-109.675,32.815,"January 2007",2007-01-22 06:00:00,"Class_A"
-109.44,34.6,"February 2007",2007-02-01 06:00:00,"Class_A"
-111.69,33.85,"1990's",1995-07-15 06:00:00,"Class_A"
-110.4298,33.99989,"October 2006",2006-10-15 06:00:00,"Class_A"
-112.6432,33.3785,"April 2004",2008-07-29 06:00:00,"Class_A"
-111.1367,34.28939,"November 2006",2006-11-17 06:00:00,"Class_A"
-111.8634,35.241,"December 1973",1973-12-20 06:00:00,"Class_A"
-110.165,34.1,"March 2010",2010-03-24 07:00:00,"Class_A"
-112.5421,34.55154,"August 1981",1981-08-15 06:00:00,"Class_A"
-119.6436,37.35944,"October 1988",1988-10-01 07:00:00,"Class_A"
-119.9833,38.93333,"June 2000",2000-06-15 06:00:00,"Class_A"
-120.0914,38.9575,"September 2000",2000-09-23 06:00:00,"Class_A"
-124.1625,40.80222,"1957 or 58",1957-06-01 07:00:00,"Class_A"
-119.836,38.28085,"November 1997",1997-11-15 06:00:00,"Class_A"
-121.9139,40.33556,"November 1968 or 69",1968-11-01 06:00:00,"Class_A"
-119.2119,37.23389,"December 1997",1997-12-18 06:00:00,"Class_A"
-119.9065,38.17677,"June 1994,1995",1994-06-01 06:00:00,"Class_A"
-120.6781,41.41,"July 1974",1974-06-01 07:00:00,"Class_A"
-120.205,38.93,"July 2000",2000-07-01 06:00:00,"Class_A"
-119.9833,38.93333,"April 1996",1996-04-10 06:00:00,"Class_A"
-120.1358,38.86,"April 1993",1993-04-01 05:00:00,"Class_A"
-118.9975,37.35861,"October 1995",1995-10-29 06:00:00,"Class_A"
-120.1877,38.06615,"August 1978/79",1978-08-01 07:00:00,"Class_A"
-118.8489,36.10222,"August 1955",1955-08-01 07:00:00,"Class_A"
-119.9811,38.19753,"July 1978",1978-07-30 07:00:00,"Class_A"
-122.4306,41.45833,"March 1999",1999-03-04 06:00:00,"Class_A"
-122.3839,41.42806,"1966",1966-09-01 07:00:00,"Class_A"
-119.2642,38.04806,"July 1977",1977-07-01 07:00:00,"Class_A"
-122.7325,40.63556,"1978 or 79",1978-10-01 07:00:00,"Class_A"
-120.2339,38.03898,"October 1983",1983-10-25 07:00:00,"Class_A"
-118.1303,36.05278,"May 1987-88",1987-05-31 06:00:00,"Class_A"
-119.8633,38.26661,"June 1993",1993-06-15 06:00:00,"Class_A"
-122.9958,41.82417,"August 1944",1944-08-01 06:00:00,"Class_A"
